Index	TimeStamp      	ID        	Length    	Data1 	Data2 	Data3 	Data4 	Data5 	Data6 	Data7 	Data8 	Checksum    
179  	4729.393    	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
180  	4739.401    	08        	5           	0e	03	01	04	0e	00	ff	ff	D3        
181  	4799.401    	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
182  	4809.395    	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
183  	4819.403    	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
184  	4829.403    	08        	5           	01	03	01	01	01	00	ff	ff	F0        
185  	4889.395    	00        	2           	07	ff	00	ff	ff	ff	ff	ff	78        
186  	4899.404    	08        	5           	08	03	01	08	08	00	ff	ff	DB        
187  	4959.405    	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
188  	4969.411    	08        	5           	07	03	01	02	07	00	ff	ff	E3        
189  	5029.397    	00        	2           	00	ff	00	ff	ff	ff	ff	ff	7F        
190  	5039.405    	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
191  	5049.402    	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
192  	5059.407    	08        	5           	0e	03	01	04	0e	00	ff	ff	D3        
193  	5119.407    	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
194  	5129.4      	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
195  	5139.408    	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
196  	5149.405    	08        	5           	01	03	01	01	01	00	ff	ff	F0        
197  	5209.318    	00        	2           	07	ff	00	ff	ff	ff	ff	ff	78        
198  	5219.327    	08        	5           	08	03	01	08	08	00	ff	ff	DB        
199  	5279.332    	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
200  	5289.321    	08        	5           	07	03	01	02	07	00	ff	ff	E3        
201  	5349.325    	00        	2           	00	ff	00	ff	ff	ff	ff	ff	7F        
202  	5359.329    	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
203  	5369.365    	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
204  	5379.334    	08        	5           	0e	03	01	04	0e	00	ff	ff	D3        
205  	5439.33     	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
206  	5449.327    	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
207  	5459.332    	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
208  	5469.32     	08        	5           	01	03	01	01	01	00	ff	ff	F0        
209  	5529.324    	00        	2           	07	ff	00	ff	ff	ff	ff	ff	78        
210  	5539.333    	08        	5           	08	03	01	08	08	00	ff	ff	DB        
211  	5599.334    	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
212  	5609.327    	08        	5           	07	03	01	02	07	00	ff	ff	E3        
213  	5669.33     	00        	2           	00	ff	00	ff	ff	ff	ff	ff	7F        
214  	5679.338    	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
215  	5689.328    	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
216  	5699.335    	08        	5           	0e	03	01	04	0e	00	ff	ff	D3        
217  	5759.335    	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
218  	5769.329    	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
219  	5779.341    	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
220  	5789.33     	08        	5           	01	03	01	01	01	00	ff	ff	F0        
221  	5849.333    	00        	2           	07	ff	00	ff	ff	ff	ff	ff	78        
222  	5859.338    	08        	5           	08	03	01	08	08	00	ff	ff	DB        
223  	5919.339    	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
224  	5929.332    	08        	5           	07	03	01	02	07	00	ff	ff	E3        
225  	5989.332    	00        	2           	00	ff	00	ff	ff	ff	ff	ff	7F        
226  	5999.34     	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
227  	6009.333    	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
228  	6019.341    	08        	5           	0e	03	01	04	0e	00	ff	ff	D3        
229  	6079.345    	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
230  	6089.334    	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
231  	6099.342    	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
232  	6109.336    	08        	5           	01	03	01	01	01	00	ff	ff	F0        
233  	6169.415    	00        	2           	07	ff	00	ff	ff	ff	ff	ff	78        
234  	6179.427    	08        	5           	08	03	01	08	08	00	ff	ff	DB        
235  	6239.425    	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
236  	6249.421    	08        	5           	07	03	01	02	07	00	ff	ff	E3        
237  	6309.417    	00        	2           	00	ff	00	ff	ff	ff	ff	ff	7F        
238  	6319.425    	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
239  	6329.418    	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
240  	6339.426    	08        	5           	0e	03	01	04	0e	00	ff	ff	D3        
241  	6399.426    	01        	2           	00	ff	00	ff	ff	ff	ff	ff	3E        
242  	6409.42     	02        	2           	00	ff	00	ff	ff	ff	ff	ff	BD        
243  	6419.428    	03        	2           	00	ff	00	ff	ff	ff	ff	ff	FC        
